Ticker,Name,1D (%),1M (%),6M (%),YTD (%),1Y (%)
BBLG,Bone Biologics Corp - Common Stock,-1,-12,-10,-21,-76
BBNX,"Beta Bionics, Inc. - Common Stock",11,11,-62,-60,-21
BBOT,"BridgeBio Oncology Therapeutics, Inc. - Common Stock",-6,-3,-30,-30,-21
BBSI,"Barrett Business Services, Inc. - Common Stock",2,4,-9,-13,-24
BCAB,"BioAtla, Inc. - Common Stock",2,-18,-91,-86,-81
BCAL,California BanCorp - Common Stock,0,1,1,3,28
BCAX,Bicara Therapeutics Inc. - Common Stock,4,-4,15,32,117
BCBP,"BCB Bancorp, Inc. (NJ) - Common Stock",1,-2,29,26,28
BCDA,"BioCardia, Inc. - Common Stock",5,-17,-30,-24,-54
BCG,"Binah Capital Group, Inc. - Common Stock",1,-12,-43,-38,-27
BCIC,BCP Investment Corporation - Closed End Fund,-1,-2,-37,-33,-27
BCML,BayCom Corp - Common Stock,-1,5,10,9,19
BCPC,Balchem Corporation - Common Stock,0,-8,6,5,-4
BCTX,BriaCell Therapeutics Corp. - Common Shares,-6,-13,-59,-51,-89
BCTXL,BriaCell Therapeutics Corp. - Warrants,,0,0,0,0
BCTXZ,BriaCell Therapeutics Corp. - Warrant,0,0,-21,-21,-21
BCYC,Bicycle Therapeutics plc - American Depositary Shares,2,-5,-32,-32,-43
BDCI,BTC Development Corp. - Class A Ordinary Shares,0,0,-1,0,-1
BDMD,Baird Medical Investment Holdings Ltd - Ordinary Share,-1,-7,12,22,-67
BDSX,"Biodesix, Inc. - Common Stock",-2,47,103,131,116
BDTX,"Black Diamond Therapeutics, Inc. - Common Stock",-36,-22,-41,-8,11
BEAG,Bold Eagle Acquisition Corp. - Class A Ordinary Shares,0,0,-1,0,2
BEAM,Beam Therapeutics Inc. - Common Stock,4,-2,21,6,68
BEAT,"Heartbeam, Inc. - Common Stock",-5,0,33,-64,-45
BEEM,Beam Global - Common Stock,-1,-23,-17,-12,-22
BEEP,Mobile Infrastructure Corporation - Common Stock,-7,-7,-37,-24,-51
BELFA,Bel Fuse Inc. - Class A Common Stock,7,10,100,65,284
BELFB,Bel Fuse Inc. - Class B Common Stock,4,8,85,56,266
BENF,Beneficient - Class A Common Stock,1,1,-17,-53,29
BFC,Bank First Corporation - Common Stock,0,-3,16,18,24
BFST,"Business First Bancshares, Inc. - Common Stock",-1,4,10,9,17
BGC,"BGC Group, Inc. - Class A Common Stock",1,-2,32,25,18
BGDE,"Big Digital Energy, Inc. - Common Stock",9,-8,16,30,-50
BGIN,Bgin Blockchain Limited - Class A Ordinary Shares,-3,-7,9,23,-33
BGL,Blue Gold Limited - Class A ordinary shares,-2,-15,-75,-62,-96
BGLC,BioNexus Gene Lab Corp - Common stock,0,-7,-54,-49,-45
BGM,BGM Group Ltd. - Class A Ordinary Shares,0,-13,-96,-92,-98
BGMS,"Bio Green Med Solution, Inc. - Common Stock",-2,0,-31,-31,-96
BHAV,BHAV Acquisition Corp - Class A Ordinary Shares,0,0,1,1,1
BHF,"Brighthouse Financial, Inc. - Common Stock",0,1,-5,-3,3
BHFAL,"Brighthouse Financial, Inc. - Junior Subordinated Debentures due 2058",1,0,2,0,-10
BHFAM,"Brighthouse Financial, Inc. - Depositary shares each representing a 1/1,000th Interest in a Share of 4.625% Non-Cumulative Preferred Stock, Series D",1,-6,0,0,-17
BHFAN,"Brighthouse Financial, Inc. - depositary shares, each representing a 1/1,000th interest in a share of 5.375% Non-Cumulative Preferred Stock, Series C",1,-4,1,1,-17
BHFAO,"Brighthouse Financial, Inc. - Depositary Shares, each representing a 1/1,000th interest in a share of 6.750% Non-Cumulative Preferred Stock, Series B",1,-5,2,4,-14
BHFAP,"Brighthouse Financial, Inc. - Depositary Shares 6.6% Non-Cumulative Preferred Stock, Series A",0,-5,1,3,-14
BHST,BioHarvest Sciences Inc. - Common Stock,1,-12,-43,-26,-38
BIAF,"bioAffinity Technologies, Inc. - Common Stock",-4,-29,9,28,-81
BIIB,Biogen Inc. - Common Stock,2,7,10,9,51
BILI,Bilibili Inc. - American Depositary Shares,-2,-21,-35,-35,-11
BIOA,"BioAge Labs, Inc. - Common Stock",-1,-8,82,29,321
BIOX,Bioceres Crop Solutions Corp. - Ordinary Shares,-5,-21,-73,-69,-92
BIVI,BioVie Inc. - Common stock,3,-4,13,14,-86
BIXI,Bitcoin Infrastructure Acquisition Corp Ltd. - Class A Ordinary Shares,0,0,1,2,1
BIYA,Baiya International Group Inc.  - Ordinary Shares,110,67,-80,-71,-99
BJDX,"Bluejay Diagnostics, Inc. - Common Stock",-2,1,-65,-27,-71
BKHA,Black Hawk Acquisition Corporation - Class A Ordinary Shares,0,1,6,5,12
BKNG,Booking Holdings Inc. - Common Stock,1,-9,-17,-24,-26
BL,"BlackLine, Inc. - Common Stock",0,-6,-49,-46,-48
BLBD,Blue Bird Corporation - Common Stock,2,3,21,42,66
